标题,标题链接,sal,er,er2,er1,字段1,采集时间,抓取时间
AI开发工程师（Agent方向）(J10194),https://jobs.51job.com/hangzhou/170840723.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,杭州景杰生物科技,,民营,150-500人,,2026/5/14 17:15
AI产品经理,https://jobs.51job.com/hangzhou-xhq/171349000.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,浙江紫金港控股集团,,民营,少于50人,,2026/5/14 17:15
AI机器人工程师,https://jobs.51job.com/hangzhou-qtq/166225595.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-3万,浙江弓叶具身科技,,民营,150-500人,,2026/5/14 17:15
AI应用开发工程师（应届）,https://jobs.51job.com/hangzhou-bjq/171476038.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万·14薪,杭州长光辰芯微电子,,民营,50-150人,,2026/5/14 17:15
AI基础设施运维工程师,https://jobs.51job.com/hangzhou-bjq/171825131.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万·14薪,中控技术,,已上市,5000-10000人,,2026/5/14 17:15
AI全栈开发工程师（杭州）,https://jobs.51job.com/hangzhou-bjq/171648758.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.3万,浙江宇视科技,,民营,1000-5000人,,2026/5/14 17:15
AI图形算法工程师,https://jobs.51job.com/hangzhou-scq/171525034.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.2万,杭州能欣投资,,民营,少于50人,,2026/5/14 17:15
AI产品经理,https://jobs.51job.com/hangzhou-bjq/170053129.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.4万·14薪,上海骐骥极创电子科技,,民营,50-150人,,2026/5/14 17:15
AI+创新中心主任,https://jobs.51job.com/hangzhou-bjq/169930560.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5-8万,东方通信,,国企,1000-5000人,,2026/5/14 17:15
产品经理（AI体育）,https://jobs.51job.com/hangzhou/165246077.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万,浙江宇视科技,,民营,1000-5000人,,2026/5/14 17:15
AI 项目经理,https://jobs.51job.com/hangzhou-yhq/171902323.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.5万,浙江润影医疗科技,,民营,少于50人,,2026/5/14 17:15
豆包AI大模型语音平台研发实习生-Data语音,https://jobs.51job.com/hangzhou/172007433.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,6千-1万,字节跳动,,民营,10000人以上,,2026/5/14 17:15
RISC-V AI架构工程师,https://jobs.51job.com/hangzhou-yhq/171876680.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3.5-7万,进迭时空（杭州）科技,,民营,150-500人,,2026/5/14 17:15
AI大模型方向博士,https://jobs.51job.com/hangzhou-xhq/168916769.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5-10万,汇能优算科技（浙江）,,民营,少于50人,,2026/5/14 17:15
仿真工程师（AI方向）,https://jobs.51job.com/hangzhou-bjq/171395197.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,浙江科澜信息技术,,民营,150-500人,,2026/5/14 17:15
AI产品实习生-火山方舟,https://jobs.51job.com/hangzhou/170870000.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,5-8千,字节跳动,,民营,10000人以上,,2026/5/14 17:15
芯片架构师-AI集群架构,https://jobs.51job.com/hangzhou-yhq/166787089.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-6万,进迭时空（杭州）科技,,民营,150-500人,,2026/5/14 17:15
阿里云智能-产品市场专家 （AI产品）-杭州,https://jobs.51job.com/hangzhou/171135288.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万,阿里云计算,,民营,10000人以上,,2026/5/14 17:15
珠宝建模师/AI应用工程师(J10259),https://jobs.51job.com/hangzhou-xhq/171760359.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.1-2万,浙江闪铸集团,,民营,500-1000人,,2026/5/14 17:15
漫剧ai生成+周末双休,https://jobs.51job.com/hangzhou/171631374.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,4-6千,杭州姚生记食品,,民营,150-500人,,2026/5/14 17:15
AI智能体开发工程师(J11766),https://jobs.51job.com/hangzhou-bjq/171817574.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.2-2.6万·14薪,烟台睿创微纳技术,,已上市,1000-5000人,,2026/5/14 17:15
AI研发安全/项目管理/安全测试,https://jobs.51job.com/hangzhou/171966584.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,深圳市汇合发展,,民营,1000-5000人,,2026/5/14 17:15
AI视频制作(J15897),https://jobs.51job.com/hangzhou-yhq/169911878.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,三生国健药业（上海）,,已上市,1000-5000人,,2026/5/14 17:15
AI剪辑师,https://jobs.51job.com/hangzhou-yhq/171916269.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,8千-1.2万,杭州第贰曲线品牌管理,,民营,50-150人,,2026/5/14 17:15
漫剧AI生成师+双休可小白,https://jobs.51job.com/hangzhou/171453038.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,4-6千,杭州姚生记食品,,民营,150-500人,,2026/5/14 17:15
销售经理（AI医学影像）,https://jobs.51job.com/hangzhou-lpq/171851916.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.6-2.8万,杭州德适生物科技,,民营,150-500人,,2026/5/14 17:15
产品经理（AI+物业服务方向）,https://jobs.51job.com/hangzhou-xhq/171923050.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2.5万,绿城房地产咨询集团,,民营,1000-5000人,,2026/5/14 17:15
人工智能与信息管理部部长（AI+智能智造）,https://jobs.51job.com/hangzhou-laq/171890501.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-4万,杭州新剑机电传动,,民营,500-1000人,,2026/5/14 17:15
解决方案-工业AI菁英人才后备,https://jobs.51job.com/hangzhou-qtq/171505295.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.8万·15薪,北京和利时工业软件,,合资,150-500人,,2026/5/14 17:15
AI算法工程师(J10688),https://jobs.51job.com/hangzhou-qtq/171599536.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万·14薪,杭州士兰集成电路,,已上市,5000-10000人,,2026/5/14 17:15
汽车Ai大客户经理,https://jobs.51job.com/hangzhou-yhq/171245136.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,深圳企域数字科技,,民营,50-150人,,2026/5/14 17:15
AI项目经理（交付方向）,https://jobs.51job.com/hangzhou/171729045.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-1.5万,浙江正凯集团,,民营,1000-5000人,,2026/5/14 17:15
人工智能算法工程师,https://jobs.51job.com/hangzhou-scq/169125680.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-2.5万·13薪,上海微思臣智咨询管理,,民营,150-500人,,2026/5/14 17:15
AI产品经理(双休）,https://jobs.51job.com/hangzhou-xsq/167969418.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,7千-1.2万·13薪,河南星芽网络科技,,民营,150-500人,,2026/5/14 17:15
AI漫剧动画师,https://jobs.51job.com/hangzhou-gsq/170539632.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,4-7千,浙江龙果映画影视科技,,民营,少于50人,,2026/5/14 17:15
人工智能工程师,https://jobs.51job.com/hangzhou/170898394.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.6-2.3万,中国电子科技集团公司第三十六研究所,,国企,1000-5000人,,2026/5/14 17:15
阿里云智能-异构GPU集群资源优化技术专家-AI领域-杭州,https://jobs.51job.com/hangzhou/169688211.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1-2万,阿里云计算,,民营,10000人以上,,2026/5/14 17:15
AI动画制作实习生SX2606,https://jobs.51job.com/hangzhou-bjq/171245258.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3千及以下,华数传媒网络,,国企,10000人以上,,2026/5/14 17:15
人工智能算法工程师-2025(J10559),https://jobs.51job.com/hangzhou-bjq/169951986.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.8-2.2万·16薪,杭州极弱磁场国家重大科技基础设施研究院,,事业单位,150-500人,,2026/5/14 17:15
组织发展专家（AI辅助决策能力）,https://jobs.51job.com/hangzhou-scq/171948912.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万·14薪,浙江同富特美刻,,民营,1000-5000人,,2026/5/14 17:15
人工智能工程师（双休）,https://jobs.51job.com/hangzhou-xsq/167969237.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-1.5万·13薪,河南星芽网络科技,,民营,150-500人,,2026/5/14 17:15
人工智能工程师,https://jobs.51job.com/hangzhou-bjq/167787382.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-2万,东方通信,,国企,1000-5000人,,2026/5/14 17:15
